layer,head,attrib_contrastive,attrib_ln_scaled,attrib_deceptive_only,pct_of_norm_v
0,5,0.0003013503737747669,0.0001005405792966485,-0.0021526680793613195,0.0028157726793265393
18,15,0.0002949237823486328,-4.176050424575806e-05,-0.2578362226486206,0.002755723573256979
20,1,0.00029321108013391495,0.000110577791929245,0.015546550042927265,0.002739720340728623
2,5,0.0002878177911043167,8.611055091023445e-05,-0.018867112696170807,0.0026893262572203524
19,13,0.0002831704914569855,8.637178689241409e-05,-0.03714447468519211,0.0026459025865751664
15,5,0.0002786219120025635,-7.120519876480103e-05,-0.3312399983406067,0.002603401342601
10,13,0.0002639405429363251,0.00013335561379790306,0.014757453463971615,0.0024662208327711982
6,13,0.00026328954845666885,8.511706255376339e-05,-0.009793849661946297,0.00246013803802551
0,2,0.0002534845843911171,8.251285180449486e-05,-0.007407710421830416,0.002368521924888733
3,7,0.00023788725957274437,7.9517369158566e-05,0.004221686627715826,0.002222782861936779
3,12,0.00023778900504112244,6.919866427779198e-05,-0.018715767189860344,0.0022218647863349616
13,6,0.000235407380387187,8.207984501495957e-05,0.0030893059447407722,0.0021996112428966045
12,9,0.00022248271852731705,6.199302151799202e-05,-0.012224174104630947,0.002078845141634835
5,15,0.00022136885672807693,7.088365964591503e-05,-0.009379652328789234,0.0020684373841014397
16,9,0.00021064281463623047,0.00013092532753944397,0.08465948700904846,0.001968214856081278
5,12,0.00020859698997810483,7.12262699380517e-05,0.0006604244117625058,0.00194909897742188
1,11,0.0002046581357717514,7.838476449251175e-05,0.018030529841780663,0.0019122949146852931
0,9,0.00019447226077318192,7.509510032832623e-05,0.009961278177797794,0.0018171196269405239
5,13,0.00019438844174146652,7.319566793739796e-05,0.0115409716963768,0.0018163364344839976
19,6,0.00017377734184265137,0.00014079734683036804,0.15185801684856415,0.0016237494094241559
7,3,0.00016450649127364159,5.3532421588897705e-05,-0.0036715606693178415,0.001537123972663133
15,11,0.00015050917863845825,3.0454248189926147e-05,-0.04454213008284569,0.001406335183492427
9,13,0.0001386590301990509,6.486102938652039e-05,0.03557398170232773,0.0012956091744164059
4,6,0.00013354048132896423,7.428228855133057e-05,0.04420919343829155,0.0012477822217378605
5,8,0.00012702029198408127,3.5814475268125534e-05,-0.011602725833654404,0.0011868585507585124
12,12,0.00011976948007941246,3.7273275665938854e-05,-0.0014996221289038658,0.001119108052199776
5,5,0.00011560600250959396,3.1720963306725025e-05,-0.004586057271808386,0.0010802051424564285
0,4,0.00010904856026172638,3.958214074373245e-05,0.008902416564524174,0.0010189333859408464
1,1,0.00010603666305541992,6.621330976486206e-05,0.05820062384009361,0.000990790670336331
11,4,0.0001009572297334671,1.8573366105556488e-05,-0.02391842007637024,0.0009433292074708312
3,0,9.895116090774536e-05,4.081497900187969e-05,0.00851481780409813,0.0009245848013446327
1,9,9.062886238098145e-05,4.561804234981537e-05,0.02878822572529316,0.0008468224925499671
17,5,6.79120421409607e-05,8.356571197509766e-05,0.12109121680259705,0.000634559932554501
14,14,6.495416164398193e-05,-2.968357875943184e-06,-0.006234397646039724,0.0006069219409775249
2,2,6.190221756696701e-05,2.4416018277406693e-05,0.009841588325798512,0.0005784050334215581
19,7,5.261227488517761e-05,4.305317997932434e-05,0.04614461585879326,0.0004916012028232154
24,12,5.130469799041748e-05,5.224160850048065e-05,0.06444347649812698,0.0004793834005014036
0,6,2.9925256967544556e-05,1.6633886843919754e-05,0.009972975589334965,0.0002796171112567365
4,1,1.3148412108421326e-05,-9.817071259021759e-06,-0.02784004807472229,0.0001228567900137746
19,14,1.1973083019256592e-05,3.5803765058517456e-05,0.0519077442586422,0.00011187469134559332
17,14,1.1027790606021881e-05,-6.137415766716003e-07,-0.008337861858308315,0.00010304202086365669
13,3,9.378418326377869e-06,1.2715812772512436e-05,0.01707305572926998,8.763053374689831e-05
0,11,1.3969838619232178e-07,1.6938894987106323e-05,0.030377311632037163,1.3053207608773334e-06
5,10,6.51925802230835e-08,-1.229066401720047e-05,-0.022141071036458015,6.091496884094222e-07
0,12,5.21540641784668e-08,4.989653825759888e-05,0.08971104025840759,4.873197507275377e-07
19,8,-1.7276033759117126e-07,6.340560503304005e-07,0.0020824449602514505,-1.6142466742849688e-06
20,7,-9.760260581970215e-07,-1.5125609934329987e-05,-0.02664005197584629,-9.119841049329634e-06
15,13,-1.3325363397598267e-05,-3.368780016899109e-05,-0.05236329510807991,-0.0001245101963108859
4,13,-1.558847725391388e-05,6.163492798805237e-06,0.027640588581562042,-0.0001456563926370987
25,1,-1.724250614643097e-05,-1.581665128469467e-05,-0.01943465694785118,-0.0001611113904458863
2,4,-2.0837411284446716e-05,-2.935878001153469e-06,0.0023907620925456285,-0.00019470164469246302
