layer,head,proj_v30
18,10,0.0041327644139528275
12,0,0.003908398095518351
2,11,0.0037401372101157904
21,3,0.0032813616562634706
13,6,0.0030893059447407722
6,10,0.002936668461188674
2,4,0.0023907620925456285
2,10,0.002206319011747837
19,8,0.0020824449602514505
23,13,0.0020668033976107836
26,1,0.0016864081844687462
12,7,0.0016294881934300065
3,11,0.001505090738646686
26,15,0.001365498173981905
6,5,0.000884651206433773
5,12,0.0006604244117625058
20,5,0.00061824667500332
9,7,0.0003930476668756455
3,15,6.776341706427047e-06
12,5,-2.6786952730617486e-05
4,5,-0.0005168229108676314
9,11,-0.0006423625163733959
29,9,-0.000677100382745266
15,2,-0.0007534486358053982
29,12,-0.001046905294060707
12,12,-0.0014996221289038658
21,0,-0.0017870422452688217
5,9,-0.0018272107699885964
21,7,-0.0018609780818223953
2,6,-0.002045803237706423
0,5,-0.0021526680793613195
19,15,-0.00236106151714921
6,15,-0.00256295851431787
9,8,-0.0030104315374046564
20,9,-0.003083079354837537
9,10,-0.0032509074080735445
2,15,-0.003300873562693596
7,3,-0.0036715606693178415
20,4,-0.0036763520911335945
13,15,-0.0037382098380476236
25,13,-0.0040756952948868275
5,5,-0.004586057271808386
5,7,-0.004982661455869675
21,15,-0.005701456218957901
9,5,-0.00581703195348382
25,5,-0.005992082413285971
10,4,-0.0060670338571071625
14,14,-0.006234397646039724
7,8,-0.006457976531237364
19,1,-0.006988464388996363
0,2,-0.007407710421830416
8,4,-0.007837588898837566
11,8,-0.00789070688188076
7,14,-0.007976284250617027
4,2,-0.008019017986953259
17,14,-0.008337861858308315
9,3,-0.008903317153453827
5,15,-0.009379652328789234
6,13,-0.009793849661946297
8,14,-0.009828813374042511
4,12,-0.010204826481640339
19,9,-0.010287261568009853
19,10,-0.01034157071262598
17,11,-0.010355441831052303
10,14,-0.010408571921288967
17,3,-0.01043566782027483
4,14,-0.010933478362858295
7,13,-0.011053902097046375
9,12,-0.011141158640384674
2,3,-0.01122902799397707
5,8,-0.011602725833654404
20,0,-0.011726253665983677
12,9,-0.012224174104630947
22,14,-0.012395254336297512
7,7,-0.012643206864595413
2,13,-0.01312855165451765
27,14,-0.01346482615917921
0,0,-0.013505117036402225
4,8,-0.014113422483205795
6,7,-0.01453110110014677
0,1,-0.015081179328262806
7,10,-0.01509097870439291
8,7,-0.01624714396893978
1,13,-0.01676906831562519
3,13,-0.017537526786327362
8,11,-0.017603149637579918
4,11,-0.01770002394914627
15,0,-0.017760762944817543
7,6,-0.0179926585406065
13,11,-0.018196748569607735
14,2,-0.018199944868683815
13,13,-0.018237479031085968
3,3,-0.018440043553709984
9,14,-0.018529193475842476
15,10,-0.018674422055482864
3,12,-0.018715767189860344
