layer,head,p_faithful,delta
25,10,1.4067532026372272e-12,2.942911739653637e-13
25,11,7.887072059792103e-13,-3.2375482269265316e-13
25,12,1.7330804953729385e-12,6.20618466701075e-13
25,13,1.160926158792027e-12,4.846413012016351e-14
25,14,1.0079160326904665e-12,-1.0454599598139695e-13
25,15,4.837156109913387e-13,-6.287464176805248e-13
26,0,1.1873728841900308e-12,7.491085551816732e-14
26,1,1.1230328004299626e-12,1.057077175809911e-14
26,2,1.1958890930824175e-12,8.342706441055407e-14
26,3,1.0363992066343482e-12,-7.606282203751524e-14
26,4,1.1181780736391638e-12,5.716044967300313e-15
26,5,1.0866288485558926e-12,-2.5833180115970843e-14
26,6,1.2378332257546157e-12,1.2537119708275227e-13
26,7,1.1344052770267812e-12,2.1943248354917762e-14
26,8,1.141460454876403e-12,2.8998426204539436e-14
26,9,9.46643642638726e-13,-1.6581838603313743e-13
26,10,1.068069630697742e-12,-4.4392397974121536e-14
26,11,1.265695772562117e-12,1.5323374389025345e-13
26,12,1.1531298333226118e-12,4.066780465074828e-14
26,13,1.24101909664893e-12,1.285570679770665e-13
26,14,1.1614697622109458e-12,4.900773353908231e-14
26,15,1.1060279302830393e-12,-6.434098388824174e-15
27,0,1.1715112768004083e-12,5.904924812854487e-14
27,1,1.2390282655710242e-12,1.265662368991607e-13
27,2,1.1069523854156242e-12,-5.509643256239252e-15
27,3,1.2039519630908027e-12,9.148993441893923e-14
27,4,1.1612097066168103e-12,4.8747677944946794e-14
27,5,1.1639957220271705e-12,5.153369335530701e-14
27,6,1.265552835255014e-12,1.530908065831506e-13
27,7,1.1221239356792954e-12,9.66190700743195e-15
27,8,1.0510392245864395e-12,-6.1422804085424e-14
27,9,1.0589920998588174e-12,-5.346992881304608e-14
27,10,1.1083362782036705e-12,-4.125750468192985e-15
27,11,1.1637201009985692e-12,5.1258072326705766e-14
27,12,1.2004173164004043e-12,8.795528772854082e-14
27,13,1.356518759622962e-12,2.440567309510986e-13
27,14,7.496315782164923e-13,-3.6283045045537114e-13
27,15,1.1243149537881583e-12,1.1852925116294877e-14
28,0,1.3465233063741515e-12,2.3406127770228803e-13
28,1,1.1536810125084156e-12,4.121898383655209e-14
28,2,1.3302157703988328e-12,2.1775374172696936e-13
28,3,1.1535789003550776e-12,4.11168716832141e-14
28,4,8.538597966996813e-13,-2.586022319721822e-13
28,5,1.1745435471714617e-12,6.208151849959827e-14
28,6,1.4595947129878368e-12,3.471326843159733e-13
28,7,1.1498313920190318e-12,3.736936334716836e-14
28,8,1.1302725309084348e-12,1.7810502236571358e-14
28,9,9.357887800582511e-13,-1.7667324861361233e-13
28,10,1.0141046012799525e-12,-9.835742739191101e-14
28,11,1.0973018250368756e-12,-1.516020363498787e-14
28,12,1.0790044584218912e-12,-3.3457570249972236e-14
28,13,1.0898539385582876e-12,-2.2608090113575846e-14
28,14,1.0128674914974921e-12,-9.959453717437132e-14
28,15,7.774805797148944e-13,-3.3498144895696905e-13
29,0,1.1870749575807698e-12,7.46129289089063e-14
29,1,1.139894902732463e-12,2.7432874060599553e-14
29,2,1.1832013792610966e-12,7.073935058923309e-14
29,3,1.1515137839715369e-12,3.90517552996734e-14
29,4,1.1354974192939921e-12,2.3035390622128633e-14
29,5,1.1578875726606592e-12,4.5425543988795685e-14
29,6,1.1444202590232246e-12,3.1958230351361147e-14
29,7,1.1150177638052582e-12,2.5557351333947715e-15
29,8,1.0802781216865124e-12,-3.218390698535105e-14
29,9,1.1283633854474846e-12,1.5901356775621114e-14
29,10,1.0809757082011434e-12,-3.148632047072005e-14
29,11,1.1473169933970997e-12,3.4854964725236244e-14
29,12,1.1226196157424922e-12,1.0157587070628689e-14
29,13,1.0400841317119964e-12,-7.237789695986703e-14
29,14,1.0185776081319283e-12,-9.388442053993516e-14
29,15,1.1897608877876348e-12,7.72988591157713e-14
30,0,1.126876320555918e-12,1.4414291884054608e-14
30,1,1.0496664796388742e-12,-6.279554903298926e-14
30,2,1.0837671100027301e-12,-2.8694918669133365e-14
30,3,1.1032761907724228e-12,-9.185837899440696e-15
30,4,1.1459531116893254e-12,3.349108301746193e-14
30,5,1.4627267158541478e-12,3.5026468718228433e-13
30,6,1.1156220447551842e-12,3.1600160833207316e-15
30,7,1.4291595846991902e-12,3.166975560273267e-13
30,8,1.18780794477864e-12,7.534591610677661e-14
30,9,1.1560319495317602e-12,4.3569920859896756e-14
30,10,1.136859476611597e-12,2.4397447939733533e-14
30,11,1.2595466982167393e-12,1.4708466954487582e-13
30,12,1.1395601062600555e-12,2.709807758819205e-14
30,13,1.109320531500849e-12,-3.1414971710144183e-15
30,14,1.152994601152181e-12,4.0532572480317484e-14
30,15,1.1087140063286213e-12,-3.7480223432422145e-15
31,0,1.1542064401481383e-12,4.1744411476274836e-14
31,1,1.187407039516462e-12,7.494501084459849e-14
31,2,1.165976228782767e-12,5.3514200110903435e-14
31,3,1.03231696191324e-12,-8.014506675862346e-14
31,4,1.0265098398486607e-12,-8.595218882320272e-14
31,5,1.0885179884016353e-12,-2.394404027022818e-14
31,6,1.0723563613982043e-12,-4.010566727365915e-14
31,7,1.1603495214029665e-12,4.788749273110299e-14
31,8,1.3316754122451712e-12,2.1921338357330777e-13
31,9,1.4430440514676729e-12,3.305820227958094e-13
31,10,1.1595843810001695e-12,4.712235232830607e-14
